,name,number_of_vehicles,ambulance_arrival_time
240,EH,450,322
241,RC,675,112
242,AP,225,138
243,AP,675,130
244,RC,225,70
245,AP,675,331
246,AP,225,85
247,SR,675,210
248,SR,225,94
249,RC,675,112
250,RC,450,93
251,EH,675,143
252,EH,225,134
253,AS,450,117
254,SR,450,192
255,AS,675,275
256,AS,675,97
257,RC,675,112
258,AP,675,82
259,RC,450,259
260,EH,450,318
261,SR,675,190
262,EH,675,141
263,SR,450,107
264,AS,450,268
265,AS,675,119
266,AS,450,95
267,SR,450,208
268,AS,675,71
269,RC,225,66
270,EH,225,125
271,EH,675,140
272,AS,675,265
273,EH,675,141
274,SR,675,140
275,RC,450,56
276,RC,225,71
277,RC,225,85
278,RC,675,305
279,AP,450,148
280,RC,450,260
281,AP,675,335
282,EH,675,320
283,AP,450,105
284,AP,450,85
285,EH,225,134
286,AP,225,143
287,AS,225,87
288,AP,675,124
289,RC,450,264
290,SR,225,129
291,AS,225,97
292,RC,450,263
293,AP,675,200
294,AP,225,81
295,RC,450,299
296,SR,675,238
297,AS,675,71
298,SR,675,141
299,EH,450,136
300,EH,450,137
301,RC,225,52
302,SR,450,320
303,RC,675,119
304,SR,225,125
305,SR,225,132
306,EH,675,142
307,SR,450,210
308,RC,450,269
309,EH,450,319
310,AP,450,323
311,AS,450,310
312,AP,450,318
313,SR,450,138
314,EH,675,311
315,EH,675,323
316,AP,450,331
317,AS,450,128
318,AP,450,100
319,AP,450,403
320,EH,675,150
321,RC,450,58
322,EH,225,134
323,EH,225,134
324,EH,450,135
325,SR,450,322
326,SR,450,107
327,EH,675,137
328,RC,675,61
329,EH,675,140
330,SR,675,141
331,RC,675,260
332,AP,675,168
333,SR,225,126
334,SR,450,317
335,EH,225,134
336,RC,450,263
337,SR,675,140
338,SR,225,133
339,AP,450,88
340,EH,675,143
341,AP,225,111
342,AS,450,106
343,RC,225,55
344,AS,450,57
345,RC,225,57
346,EH,450,320
347,AP,675,111
348,EH,450,318
349,AP,675,172
350,AS,450,96
351,AP,225,278
352,EH,675,321
353,AS,675,98
354,AP,675,148
355,EH,450,135
356,AP,450,537
357,AP,675,90
358,AS,675,267
359,SR,450,97
360,SR,225,134
361,AS,675,93
362,RC,450,256
363,SR,450,376
364,AP,225,139
365,AP,225,148
366,RC,450,502
367,EH,225,132
368,RC,225,53
369,AP,225,143
370,RC,675,68
371,AP,225,95
372,SR,450,135
373,AS,225,56
374,EH,675,140
375,SR,450,318
376,EH,450,317
377,AP,225,81
378,AS,675,148
379,AP,225,89
380,EH,450,311
381,AP,675,391
382,AS,450,91
383,RC,225,75
384,SR,450,192
385,EH,225,133
386,AS,450,63
387,AP,450,521
388,AP,450,146
389,AP,225,142
390,RC,225,52
391,AS,225,81
392,SR,225,282
393,AP,450,204
394,EH,450,138
395,EH,450,318
396,AS,450,267
397,AP,225,139
398,AS,675,313
399,RC,225,54
400,AS,225,47
401,EH,225,135
402,EH,225,133
403,EH,225,135
404,SR,225,134
405,AP,450,318
406,EH,675,141
407,RC,450,449
408,EH,675,137
409,SR,675,320
410,SR,450,192
411,AS,225,63
412,EH,450,137
413,RC,675,261
414,RC,450,257
415,EH,450,134
416,AP,675,118
417,AS,225,58
418,SR,675,266
419,RC,225,62
420,AS,450,94
421,SR,225,194
422,RC,675,278
423,RC,675,111
424,EH,225,134
425,AS,450,115
426,AS,675,115
427,AS,675,145
428,RC,450,265
429,AP,675,142
430,RC,675,70
431,AS,450,118
432,AS,675,103
433,SR,675,106
434,RC,225,53
435,EH,225,137
436,AS,450,104
437,SR,450,289
438,EH,225,137
439,SR,675,432
440,RC,675,277
441,SR,225,111
442,AP,450,320
443,SR,450,320
444,AS,675,74
445,SR,450,319
446,SR,675,140
447,AS,225,56
448,SR,675,190
449,AP,450,82
450,AP,225,144
